# Simulation 2 (Up to date)
# 125 data points written for 54 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
2.636,6.663,-4.717,-14.284,46.013,22.775,52.931,0.003,52.931,0.003,45.77,17.738,28.61,-80.599,9.792,6.45,2.391e-6,-3.184,0.005,7977.208,583.969,0.61,0.005,71.082,56.605,1.798,0.152,4.275e6,148.942,3.128,0.343,0.376,0.28,0.007,0.055,0.767,1.381,-3.204e-4,0,0,0,0,-5.891e-4,0.007,8.05,50.896,-11.69,0.006,5.665,14.957,1012.469,340.363,0.045,0.059
2.682,6.43,-5.373,-14.198,46.885,22.519,55.06,0.003,55.06,0.003,46.576,17.48,28.61,-80.599,9.792,5.912,-7.324e-7,0.724,0.007,7972.916,579.677,0.609,0.005,71.389,56.576,1.84,0.155,4.375e6,146.818,3.237,0.343,0.372,0.28,0.007,0.055,0.687,1.264,-1.546e-4,0,0,0,0,2.908e-5,0.007,8.05,50.896,-11.745,0.006,6.005,14.958,1012.496,340.364,0.046,0.059
2.73,6.156,-6.049,-14.018,47.787,22.218,57.316,0.003,57.316,0.003,47.403,17.238,28.61,-80.599,9.792,5.181,-2.828e-6,4.586,0.006,7968.445,575.206,0.608,0.005,71.834,56.546,1.899,0.159,4.467e6,144.63,3.322,0.343,0.366,0.28,0.007,0.055,0.582,1.104,4.039e-4,0,0,0,0,0.001,0.007,8.05,50.896,-11.616,0.006,6.222,14.96,1012.528,340.365,0.048,0.059
2.78,5.836,-6.742,-13.742,48.72,21.855,59.707,0.004,59.707,0.003,48.251,16.994,28.61,-80.599,9.792,4.248,2.569e-6,8.101,0.007,7964.224,570.985,0.606,0.005,72.45,56.517,1.979,0.161,4.547e6,142.242,3.378,0.343,0.359,0.28,0.007,0.056,0.456,0.899,2.752e-4,0,0,0,0,0.003,0.007,8.05,50.896,-11.296,0.007,6.261,14.962,1012.566,340.366,0.05,0.06
2.83,5.482,-7.419,-13.392,49.645,21.444,62.141,0.004,62.141,0.004,49.087,16.747,28.61,-80.599,9.792,3.149,1.176e-5,10.948,0.008,7960.003,566.764,0.605,0.005,73.256,56.489,2.083,0.163,4.602e6,139.697,3.395,0.343,0.353,0.28,0.007,0.056,0.32,0.66,-9.767e-5,0,0,0,0,0.006,0.007,8.05,50.896,-10.816,0.007,6.007,14.964,1012.607,340.367,0.05,0.06
2.88,5.095,-8.078,-13.025,50.56,21.012,64.616,0.004,64.616,0.004,49.91,16.489,28.61,-80.599,9.792,2.059,-6.378e-6,12.932,0.009,7955.782,562.543,0.604,0.005,74.16,56.46,2.199,0.167,4.711e6,137.152,3.507,0.343,0.348,0.28,0.007,0.056,0.197,0.425,1.045e-4,0,0,0,0,0.008,0.007,8.05,50.896,-10.215,0.007,6.426,14.967,1012.652,340.369,0.05,0.06
2.93,4.675,-8.718,-12.622,51.464,20.569,67.132,0.004,67.132,0.004,50.72,16.241,28.61,-80.599,9.792,0.809,-7.889e-6,14.159,0.019,7951.56,558.321,0.603,0.005,75.344,56.432,2.349,0.169,4.756e6,134.608,3.539,0.343,0.344,0.28,0.007,0.056,0.072,0.16,-1.985e-4,0,0,0,0,0.009,0.007,8.05,50.896,-9.533,0.007,6.067,14.97,1012.702,340.37,0.05,0.06
2.98,4.223,-9.337,-12.227,52.358,20.124,69.688,0.005,69.688,0.004,51.518,15.984,28.61,-80.599,9.792,0.458,-3.967e-7,-14.202,0.023,7947.339,554.1,0.601,0.005,75.712,56.403,2.399,0.17,4.792e6,132.063,3.588,0.343,0.344,0.28,0.007,0.056,0.04,0.105,3.953e-4,0,0,0,0,-0.009,0.008,8.05,50.896,-8.82,0.007,5.609,14.973,1012.755,340.372,0.05,0.061
3.03,3.741,-9.938,-11.844,53.238,19.665,72.283,0.005,72.283,0.004,52.303,15.698,28.61,-80.599,9.792,1.539,5.85e-7,-13.304,0.005,7943.239,550,0.6,0.005,74.634,56.375,2.268,0.174,4.897e6,129.501,3.771,0.343,0.346,0.28,0.007,0.056,0.143,0.332,-1.582e-4,0,0,0,0,-0.008,0.008,8.05,50.896,-8.128,0.007,6.011,14.976,1012.811,340.374,0.05,0.061
3.08,3.23,-10.519,-11.463,54.102,19.163,74.917,0.005,74.917,0.004,53.07,15.356,28.61,-80.599,9.792,2.556,7.248e-6,-11.428,3.178e-4,7939.524,546.285,0.599,0.005,73.739,56.35,2.16,0.177,4.983e6,126.539,3.948,0.343,0.35,0.28,0.007,0.056,0.251,0.548,-2.997e-4,0,0,0,0,-0.006,0.008,8.05,50.896,-7.506,0.007,6.187,14.979,1012.871,340.376,0.05,0.061
3.13,2.69,-11.082,-11.118,54.948,18.656,77.59,0.006,77.59,0.004,53.819,14.982,28.61,-80.599,9.792,3.423,-1.08e-5,-8.559,0.002,7935.808,542.569,0.598,0.005,73.053,56.325,2.078,0.18,5.068e6,123.407,4.138,0.344,0.354,0.28,0.007,0.056,0.353,0.736,-3.056e-4,0,0,0,0,-0.003,0.008,8.05,50.896,-7.003,0.007,6.38,14.983,1012.935,340.378,0.05,0.061
3.18,2.122,-11.629,-10.832,55.774,18.183,80.299,0.006,80.299,0.004,54.548,14.604,28.61,-80.599,9.792,4.172,-2.42e-6,-4.829,0.002,7932.093,538.854,0.597,0.005,72.51,56.299,2.014,0.182,5.119e6,120.275,4.278,0.344,0.359,0.28,0.007,0.056,0.446,0.9,-4.305e-4,0,0,0,0,-9.457e-4,0.008,8.05,50.896,-6.666,0.007,6.172,14.986,1013.001,340.381,0.05,0.062
3.228,1.549,-12.145,-10.635,56.554,17.764,82.946,0.007,82.946,0.005,55.234,14.229,28.61,-80.599,9.792,4.723,1.002e-6,-0.507,-5.025e-4,7928.509,535.27,0.596,0.005,72.138,56.275,1.971,0.183,5.15e6,117.199,4.377,0.344,0.363,0.28,0.007,0.056,0.519,1.023,2.828e-4,0,0,0,0,-1.028e-5,0.008,8.05,50.896,-6.535,0.007,5.76,14.99,1013.068,340.383,0.048,0.062
3.27,1.031,-12.587,-10.546,57.217,17.424,85.271,0.007,85.271,0.005,55.815,13.87,28.61,-80.599,9.792,4.924,-4.941e-7,3.661,-8.339e-4,7925.398,532.159,0.595,0.005,72.008,56.254,1.957,0.185,5.216e6,114.377,4.509,0.344,0.365,0.28,0.007,0.056,0.546,1.069,-1.894e-4,0,0,0,0,5.237e-4,0.008,8.05,50.896,-6.601,0.007,5.909,14.993,1013.129,340.385,0.042,0.062
3.309,0.532,-12.998,-10.539,57.823,17.158,87.457,0.007,87.457,0.005,56.343,13.54,28.61,-80.599,9.792,4.897,-7.451e-6,7.724,-5.062e-4,7922.545,529.306,0.594,0.005,72.026,56.234,1.962,0.188,5.298e6,111.846,4.65,0.344,0.364,0.28,0.007,0.056,0.543,1.063,1.075e-4,0,0,0,0,0.002,0.008,8.05,50.896,-6.823,0.007,6.305,14.997,1013.188,340.387,0.039,0.062
3.347,0.031,-13.398,-10.597,58.404,16.958,89.608,0.008,89.608,0.005,56.846,13.24,28.61,-80.599,9.792,4.799,-4.309e-6,11.726,0.001,7920.132,526.893,0.593,0.005,72.091,56.218,1.972,0.189,5.34e6,109.527,4.714,0.344,0.364,0.28,0.007,0.056,0.529,1.039,3.73e-6,0,0,0,0,0.005,0.008,8.05,50.896,-7.193,0.007,6.226,15,1013.246,340.389,0.038,0.062
# Event GROUND_HIT occurred at t=3.385 seconds
# Event SIMULATION_END occurred at t=3.385 seconds
3.385,-0.489,-13.804,-10.712,58.98,16.812,91.789,0.008,91.789,0.005,57.342,12.957,28.61,-80.599,9.792,4.677,1.812e-5,15.668,0.004,7917.705,524.466,0.593,0.005,72.171,56.201,1.984,0.189,5.326e6,107.294,4.678,0.344,0.363,0.28,0.007,0.056,0.513,1.009,7.485e-5,0,0,0,0,0.009,0.009,8.05,50.896,-7.717,0.007,5.475,15,1013.25,340.389,0.038,0.063
